Region,Information,2013,2014,2015
Espoo,Services (TP),97914.0,95897.0,95248.0
Espoo,"A Agriculture, forestry and fishing (TP)",137.0,158.0,175.0
Espoo,B Mining and quarrying (TP),36.0,32.0,28.0
Espoo,C Manufacturing (TP),13053.0,12620.0,12106.0
Espoo,"D Electricity, gas, steam and air conditioning supply (TP)",1453.0,1481.0,1387.0
Espoo,"E Water supply; sewerage, waste management and remediation activities (TP)",399.0,381.0,369.0
Espoo,F Construction (TP),6097.0,6300.0,5572.0
Espoo,G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),21499.0,19602.0,19184.0
Espoo,H Transportation and storage (TP),3928.0,5093.0,4016.0
Espoo,I Accommodation and food service activities (TP),3572.0,3330.0,3282.0
Espoo,J Information and communication (TP),11198.0,11023.0,10868.0
Espoo,K Financial and insurance activities (TP),3957.0,3193.0,2867.0
Espoo,L Real estate activities (TP),990.0,1001.0,1024.0
Espoo,"M Professional, scientific and technical activities (TP)",12040.0,11400.0,11677.0
Espoo,N Administrative and support service activities (TP),8040.0,8347.0,9267.0
Espoo,O Public administration and defence; compulsory social security (TP),2887.0,2714.0,2873.0
Espoo,P Education (TP),10394.0,10065.0,9890.0
Espoo,Q Human health and social work activities (TP),14010.0,14389.0,14503.0
Espoo,"R Arts, entertainment and recreation (TP)",2822.0,3025.0,3115.0
Espoo,S Other service activities (TP),2196.0,2243.0,2133.0
Espoo,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),350.0,439.0,516.0
Espoo,U Activities of extraterritorial organisations and bodies (TP),31.0,33.0,33.0
Espoo,X Industry unknown (TP),1158.0,1196.0,1361.0
Espoo,"Inhabitants, total (PT)",260753.0,265543.0,269802.0
Espoo,Employed (PT),125228.0,125179.0,125599.0
Espoo,Unemployed (PT),11271.0,13426.0,14858.0
Espoo,Children aged 0 to 14 (PT),50723.0,51963.0,52714.0
Espoo,Students (PT),21156.0,21620.0,22001.0
Espoo,Pensioners (PT),41276.0,42345.0,43498.0
Espoo,Others (PT),11099.0,11010.0,11132.0
Hanko,"Inhabitants, total (HE)",9109.0,9021.0,8864.0
Hanko,Males (HE),4592.0,4546.0,4425.0
Hanko,Females (HE),4517.0,4475.0,4439.0
Hanko,Average age of inhabitants (HE),46.0,47.0,47.0
Hanko,0-2 years (HE),217.0,188.0,173.0
Hanko,3-6 years (HE),362.0,369.0,346.0
Hanko,7-12 years (HE),509.0,502.0,507.0
Hanko,13-15 years (HE),280.0,297.0,270.0
Hanko,16-17 years (HE),197.0,173.0,190.0
Hanko,18-19 years (HE),199.0,200.0,177.0
Hanko,20-24 years (HE),355.0,337.0,317.0
Hanko,25-29 years (HE),381.0,369.0,363.0
Hanko,30-34 years (HE),439.0,426.0,384.0
Hanko,35-39 years (HE),471.0,456.0,456.0
Hanko,40-44 years (HE),585.0,554.0,530.0
Hanko,45-49 years (HE),629.0,636.0,629.0
Hanko,50-54 years (HE),630.0,640.0,651.0
Hanko,55-59 years (HE),679.0,652.0,643.0
Hanko,60-64 years (HE),797.0,757.0,715.0
Hanko,65-69 years (HE),954.0,955.0,921.0
Hanko,70-74 years (HE),576.0,594.0,675.0
Hanko,75-79 years (HE),399.0,448.0,448.0
Hanko,80-84 years (HE),221.0,246.0,254.0
Hanko,85 years or over (HE),229.0,222.0,215.0
Hanko,"Aged 18 or over, total (KO)",7544.0,7492.0,7378.0
Hanko,Basic level studies (KO),3090.0,3028.0,2935.0
Hanko,"With education, total (KO)",4454.0,4464.0,4443.0
Hanko,Matriculation examination (KO),391.0,367.0,372.0
Hanko,Vocational diploma (KO),3207.0,3230.0,3201.0
Hanko,Academic degree - Lower level university degree (KO),487.0,487.0,473.0
Hanko,Academic degree - Higher level university degree (KO),369.0,380.0,397.0
Hanko,"Aged 18 or over, total (HR)",7544.0,7492.0,7378.0
Hanko,Average income of inhabitants (HR),22118.0,22497.0,22454.0
Hanko,Median income of inhabitants (HR),20051.0,20126.0,20296.0
Hanko,Inhabitants belonging to the lowest income category (HR),1251.0,1260.0,1246.0
Hanko,Inhabitants belonging to the middle income category (HR),5045.0,5008.0,4916.0
Hanko,Inhabitants belonging to the highest income category (HR),1248.0,1224.0,1216.0
Hanko,Accumulated purchasing power of inhabitants (HR),166860842.0,168548440.0,165666655.0
Hanko,"Households, total (TE)",4583.0,4547.0,4506.0
Hanko,Average size of households (TE),1.9,1.9,1.9
Hanko,Average floor area per person (TE),43.2,43.5,44.2
Hanko,One-person households (TE),2015.0,2007.0,2003.0
Hanko,Young one-person households (TE),300.0,290.0,254.0
Hanko,Young couples without children (TE),90.0,75.0,82.0
Hanko,Households with children (TE),865.0,849.0,826.0
Hanko,Households with small children (TE),190.0,169.0,156.0
Hanko,Households with children under school age (TE),396.0,382.0,366.0
Hanko,Households with school-age children (TE),391.0,386.0,384.0
Hanko,Households with teenagers (TE),372.0,361.0,360.0
Hanko,One-parent households with children (TE),186.0,176.0,182.0
Hanko,Adult households (TE),2046.0,1959.0,1926.0
Hanko,Pensioner households (TE),1688.0,1754.0,1773.0
Hanko,Households living in owner-occupied dwellings (TE),3235.0,3217.0,3208.0
Hanko,Households living in rented dwellings (TE),1156.0,1171.0,1132.0
Hanko,Households living in other dwellings (TE),192.0,159.0,166.0
Hanko,"Households, total (TR)",4583.0,4547.0,4506.0
Hanko,Average income of households (TR),35887.0,36530.0,36253.0
Hanko,Median income of households (TR),30410.0,30617.0,31196.0
Hanko,Households belonging to the lowest income category (TR),1063.0,1056.0,1030.0
Hanko,Households belonging to the middle income category (TR),2870.0,2873.0,2838.0
Hanko,Households belonging to the highest income category (TR),650.0,618.0,638.0
Hanko,Accumulated purchasing power of households (TR),164469659.0,166101265.0,163356172.0
Hanko,Free-time residences (RA),779.0,777.0,781.0
Hanko,"Buildings, total (RA)",3752.0,3775.0,3784.0
Hanko,Other buildings (RA),703.0,709.0,713.0
Hanko,Residential buildings (RA),3049.0,3066.0,3071.0
Hanko,Dwellings (RA),5806.0,5802.0,5799.0
Hanko,Average floor area per dwelling (RA),81.5,81.3,81.4
Hanko,Dwellings in small houses (RA),3454.0,3388.0,3383.0
Hanko,Dwellings in blocks of flats (RA),2206.0,2246.0,2246.0
Hanko,Other dwellings (RA),146.0,168.0,170.0
Hanko,"Workplaces, total (TP)",3734.0,3633.0,3523.0
Hanko,Primary production (TP),15.0,11.0,7.0
Hanko,Processing (TP),1302.0,1308.0,1308.0
Hanko,Services (TP),2392.0,2278.0,2183.0
Hanko,"A Agriculture, forestry and fishing (TP)",15.0,11.0,7.0
Hanko,B Mining and quarrying (TP),0.0,0.0,0.0
Hanko,C Manufacturing (TP),1034.0,1053.0,1052.0
Hanko,"D Electricity, gas, steam and air conditioning supply (TP)",0.0,0.0,0.0
Hanko,"E Water supply; sewerage, waste management and remediation activities (TP)",32.0,31.0,30.0
Hanko,F Construction (TP),236.0,224.0,226.0
Hanko,G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),472.0,474.0,404.0
Hanko,H Transportation and storage (TP),572.0,486.0,467.0
Hanko,I Accommodation and food service activities (TP),119.0,98.0,100.0
Hanko,J Information and communication (TP),16.0,16.0,19.0
Hanko,K Financial and insurance activities (TP),31.0,23.0,17.0
Hanko,L Real estate activities (TP),11.0,10.0,26.0
Hanko,"M Professional, scientific and technical activities (TP)",98.0,117.0,92.0
Hanko,N Administrative and support service activities (TP),156.0,153.0,157.0
Hanko,O Public administration and defence; compulsory social security (TP),173.0,171.0,182.0
Hanko,P Education (TP),146.0,140.0,134.0
Hanko,Q Human health and social work activities (TP),443.0,444.0,446.0
Hanko,"R Arts, entertainment and recreation (TP)",33.0,30.0,34.0
Hanko,S Other service activities (TP),111.0,105.0,90.0
Hanko,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),11.0,11.0,15.0
Hanko,U Activities of extraterritorial organisations and bodies (TP),0.0,0.0,0.0
Hanko,X Industry unknown (TP),25.0,36.0,25.0
Hanko,"Inhabitants, total (PT)",9109.0,9021.0,8864.0
Hanko,Employed (PT),3435.0,3341.0,3283.0
Hanko,Unemployed (PT),631.0,633.0,584.0
Hanko,Children aged 0 to 14 (PT),1283.0,1245.0,1205.0
Hanko,Students (PT),501.0,520.0,480.0
Hanko,Pensioners (PT),2931.0,2964.0,2985.0
Hanko,Others (PT),328.0,318.0,327.0
Helsinki,"Inhabitants, total (HE)",612664.0,620715.0,628208.0
Helsinki,Males (HE),288957.0,293113.0,297151.0
Helsinki,Females (HE),323707.0,327602.0,331057.0
Helsinki,Average age of inhabitants (HE),40.0,40.0,41.0
Helsinki,0-2 years (HE),19609.0,20029.0,20316.0
Helsinki,3-6 years (HE),23835.0,24523.0,25063.0
Helsinki,7-12 years (HE),30680.0,31523.0,32684.0
Helsinki,13-15 years (HE),15067.0,14927.0,14991.0
Helsinki,16-17 years (HE),10832.0,10641.0,10476.0
Helsinki,18-19 years (HE),12970.0,12330.0,11982.0
Helsinki,20-24 years (HE),48910.0,48796.0,48118.0
Helsinki,25-29 years (HE),58185.0,59573.0,60796.0
Helsinki,30-34 years (HE),55754.0,57140.0,58052.0
Helsinki,35-39 years (HE),46536.0,48292.0,49617.0
Helsinki,40-44 years (HE),37142.0,37666.0,38839.0
Helsinki,45-49 years (HE),42314.0,41184.0,40096.0
Helsinki,50-54 years (HE),40187.0,41102.0,41511.0
Helsinki,55-59 years (HE),36635.0,36758.0,37218.0
Helsinki,60-64 years (HE),35180.0,34522.0,34385.0
Helsinki,65-69 years (HE),34638.0,35847.0,35372.0
Helsinki,70-74 years (HE),22423.0,23129.0,25493.0
Helsinki,75-79 years (HE),16726.0,17462.0,17481.0
Helsinki,80-84 years (HE),12770.0,12724.0,12769.0
Helsinki,85 years or over (HE),12271.0,12547.0,12949.0
Helsinki,"Aged 18 or over, total (KO)",512641.0,519072.0,524678.0
Helsinki,Basic level studies (KO),128424.0,127355.0,127661.0
Helsinki,"With education, total (KO)",384217.0,391717.0,397017.0
Helsinki,Matriculation examination (KO),67788.0,67334.0,66845.0
Helsinki,Vocational diploma (KO),153354.0,154954.0,155115.0
Helsinki,Academic degree - Lower level university degree (KO),67400.0,70272.0,72838.0
Helsinki,Academic degree - Higher level university degree (KO),95675.0,99157.0,102219.0
Helsinki,"Aged 18 or over, total (HR)",512641.0,519072.0,524678.0
Helsinki,Average income of inhabitants (HR),26217.0,26240.0,26914.0
Helsinki,Median income of inhabitants (HR),22055.0,22266.0,22502.0
Helsinki,Inhabitants belonging to the lowest income category (HR),100241.0,102100.0,102694.0
Helsinki,Inhabitants belonging to the middle income category (HR),277179.0,279248.0,280808.0
Helsinki,Inhabitants belonging to the highest income category (HR),135221.0,137724.0,141176.0
Helsinki,Accumulated purchasing power of inhabitants (HR),13440076090.0,13620557644.0,14121000555.0
Helsinki,"Households, total (TE)",315141.0,318225.0,321381.0
Helsinki,Average size of households (TE),1.9,1.9,1.9
Helsinki,Average floor area per person (TE),34.2,34.1,34.0
Helsinki,One-person households (TE),153206.0,154091.0,154915.0
Helsinki,Young one-person households (TE),44980.0,44966.0,44709.0
Helsinki,Young couples without children (TE),20681.0,20866.0,21168.0
Helsinki,Households with children (TE),58287.0,59276.0,60324.0
Helsinki,Households with small children (TE),17422.0,17786.0,18206.0
Helsinki,Households with children under school age (TE),30856.0,31745.0,32491.0
Helsinki,Households with school-age children (TE),22678.0,23264.0,24143.0
Helsinki,Households with teenagers (TE),19414.0,19277.0,19265.0
Helsinki,One-parent households with children (TE),14852.0,14978.0,15219.0
Helsinki,Adult households (TE),183314.0,183452.0,183934.0
Helsinki,Pensioner households (TE),74624.0,76603.0,78268.0
Helsinki,Households living in owner-occupied dwellings (TE),148500.0,147775.0,148302.0
Helsinki,Households living in rented dwellings (TE),158273.0,162366.0,164743.0
Helsinki,Households living in other dwellings (TE),8368.0,8084.0,8336.0
Helsinki,"Households, total (TR)",315141.0,318225.0,321381.0
Helsinki,Average income of households (TR),41986.0,42130.0,43242.0
Helsinki,Median income of households (TR),31448.0,31815.0,32256.0
Helsinki,Households belonging to the lowest income category (TR),66940.0,66836.0,66478.0
Helsinki,Households belonging to the middle income category (TR),167806.0,169371.0,171015.0
Helsinki,Households belonging to the highest income category (TR),80395.0,82018.0,83888.0
Helsinki,Accumulated purchasing power of households (TR),13231502291.0,13406873502.0,13897001336.0
Helsinki,Free-time residences (RA),410.0,404.0,407.0
Helsinki,"Buildings, total (RA)",41428.0,41730.0,42145.0
Helsinki,Other buildings (RA),6678.0,6631.0,6701.0
Helsinki,Residential buildings (RA),34750.0,35099.0,35444.0
Helsinki,Dwellings (RA),342303.0,346751.0,350314.0
Helsinki,Average floor area per dwelling (RA),63.2,63.3,63.3
Helsinki,Dwellings in small houses (RA),44553.0,45237.0,45582.0
Helsinki,Dwellings in blocks of flats (RA),293673.0,297246.0,300450.0
Helsinki,Other dwellings (RA),4077.0,4268.0,4282.0
Helsinki,"Workplaces, total (TP)",381942.0,379250.0,379518.0
Helsinki,Primary production (TP),483.0,482.0,479.0
Helsinki,Processing (TP),37499.0,37007.0,37405.0
Helsinki,Services (TP),341094.0,338377.0,338040.0
Helsinki,"A Agriculture, forestry and fishing (TP)",483.0,482.0,479.0
Helsinki,B Mining and quarrying (TP),20.0,19.0,10.0
Helsinki,C Manufacturing (TP),16199.0,16458.0,16367.0
Helsinki,"D Electricity, gas, steam and air conditioning supply (TP)",1771.0,1830.0,1723.0
Helsinki,"E Water supply; sewerage, waste management and remediation activities (TP)",642.0,632.0,797.0
Helsinki,F Construction (TP),18867.0,18068.0,18508.0
Helsinki,G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),42085.0,40161.0,38848.0
Helsinki,H Transportation and storage (TP),19655.0,19018.0,18186.0
Helsinki,I Accommodation and food service activities (TP),17494.0,17557.0,17741.0
Helsinki,J Information and communication (TP),35321.0,36024.0,36433.0
Helsinki,K Financial and insurance activities (TP),18281.0,18386.0,18946.0
Helsinki,L Real estate activities (TP),5635.0,5225.0,5381.0
Helsinki,"M Professional, scientific and technical activities (TP)",37194.0,36762.0,37431.0
Helsinki,N Administrative and support service activities (TP),28134.0,28773.0,31290.0
Helsinki,O Public administration and defence; compulsory social security (TP),29244.0,29425.0,28054.0
Helsinki,P Education (TP),24481.0,23995.0,24242.0
Helsinki,Q Human health and social work activities (TP),55124.0,54357.0,53053.0
Helsinki,"R Arts, entertainment and recreation (TP)",10815.0,11017.0,11015.0
Helsinki,S Other service activities (TP),16315.0,16134.0,15605.0
Helsinki,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),921.0,1095.0,1381.0
Helsinki,U Activities of extraterritorial organisations and bodies (TP),395.0,448.0,434.0
Helsinki,X Industry unknown (TP),2866.0,3384.0,3594.0
Helsinki,"Inhabitants, total (PT)",612664.0,620715.0,628208.0
Helsinki,Employed (PT),296020.0,294446.0,295913.0
Helsinki,Unemployed (PT),32778.0,38575.0,41275.0
Helsinki,Children aged 0 to 14 (PT),84154.0,86020.0,87908.0
Helsinki,Students (PT),46957.0,47997.0,48492.0
Helsinki,Pensioners (PT),119382.0,120719.0,122004.0
Helsinki,Others (PT),33373.0,32958.0,32616.0
Hyvinkää,"Inhabitants, total (HE)",46188.0,46366.0,46463.0
Hyvinkää,Males (HE),22505.0,22643.0,22643.0
Hyvinkää,Females (HE),23683.0,23723.0,23820.0
Hyvinkää,Average age of inhabitants (HE),42.0,42.0,42.0
Hyvinkää,0-2 years (HE),1418.0,1368.0,1316.0
Hyvinkää,3-6 years (HE),2101.0,2080.0,2024.0
Hyvinkää,7-12 years (HE),3113.0,3120.0,3162.0
Hyvinkää,13-15 years (HE),1541.0,1549.0,1568.0
Hyvinkää,16-17 years (HE),1116.0,1112.0,1085.0
Hyvinkää,18-19 years (HE),1272.0,1171.0,1121.0
Hyvinkää,20-24 years (HE),2748.0,2833.0,2777.0
Hyvinkää,25-29 years (HE),2685.0,2703.0,2749.0
Hyvinkää,30-34 years (HE),2818.0,2866.0,2905.0
Hyvinkää,35-39 years (HE),2910.0,2901.0,2806.0
Hyvinkää,40-44 years (HE),2845.0,2831.0,2883.0
Hyvinkää,45-49 years (HE),3267.0,3214.0,3163.0
Hyvinkää,50-54 years (HE),3360.0,3375.0,3337.0
Hyvinkää,55-59 years (HE),3220.0,3255.0,3218.0
Hyvinkää,60-64 years (HE),3282.0,3153.0,3197.0
Hyvinkää,65-69 years (HE),2945.0,3139.0,3198.0
Hyvinkää,70-74 years (HE),1851.0,1896.0,2117.0
Hyvinkää,75-79 years (HE),1555.0,1613.0,1549.0
Hyvinkää,80-84 years (HE),1129.0,1105.0,1169.0
Hyvinkää,85 years or over (HE),1012.0,1082.0,1119.0
Hyvinkää,"Aged 18 or over, total (KO)",36899.0,37137.0,37308.0
Hyvinkää,Basic level studies (KO),10382.0,10106.0,10013.0
Hyvinkää,"With education, total (KO)",26517.0,27031.0,27295.0
Hyvinkää,Matriculation examination (KO),2173.0,2209.0,2170.0
Hyvinkää,Vocational diploma (KO),17614.0,17880.0,17960.0
Hyvinkää,Academic degree - Lower level university degree (KO),3830.0,3947.0,4090.0
