"12bf -- Household income and expenditure by area, annually, 2000-2020",,,,,,,,
,,,,,,,,
Sector,Area,Transaction,"2015 At current prices, millions of euro","2016 At current prices, millions of euro","2017 At current prices, millions of euro","2018 At current prices, millions of euro","2019 At current prices, millions of euro","2020 At current prices, millions of euro"
S14 Households,MK01 Uusimaa,"D4OMR  Property income, (incl. holding gains and losses), income",4613,4413,4665,5246,4844,5249
S14 Households,MK01 Uusimaa,"D4K Property income, expenditure",271,189,160,182,186,153
S14 Households,MK01 Uusimaa,B5N Net national income,47749,48611,49539,52051,53222,53114
S14 Households,MK01 Uusimaa,"D62R Social benefits other than social transfers in kind, income",12201,12494,12682,12965,13322,14117
S14 Households,MK01 Uusimaa,"D7R Other current transfers, income",542,532,608,556,602,577
S14 Households,MK01 Uusimaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",11008,11219,11509,11620,11970,12233
S14 Households,MK01 Uusimaa,D61K Employer's social security contributions,10465,10861,10682,10963,11266,10848
S14 Households,MK01 Uusimaa,"D7K Other current transfers, expenditure",1094,1040,1085,1073,1111,1098
S14 Households,MK01 Uusimaa,"B6N Disposable income, net",37927,38517,39553,41915,42799,43629
S14 Households,MK02 Southwest Finland,"B2N Operating surplus, net",765,793,790,803,795,805
S14 Households,MK02 Southwest Finland,"B3N Mixed income, net",669,689,695,755,748,759
S14 Households,MK02 Southwest Finland,"D11R Wages and salaries received, income",6771,6871,7019,7372,7693,7663
S14 Households,MK02 Southwest Finland,"D12R Employer's social security contributions, income",1569,1609,1510,1521,1553,1457
S14 Households,MK02 Southwest Finland,"D4OMR  Property income, (incl. holding gains and losses), income",1083,1076,1178,1184,1188,1130
S14 Households,MK02 Southwest Finland,"D4K Property income, expenditure",84,61,52,58,59,48
S14 Households,MK02 Southwest Finland,B5N Net national income,10775,10977,11141,11576,11917,11766
S14 Households,MK02 Southwest Finland,"D62R Social benefits other than social transfers in kind, income",3746,3792,3823,3852,3945,4139
S14 Households,MK02 Southwest Finland,"D7R Other current transfers, income",193,195,224,203,219,205
S14 Households,MK02 Southwest Finland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",2414,2467,2461,2511,2557,2581
S14 Households,MK02 Southwest Finland,D61K Employer's social security contributions,2290,2357,2308,2366,2451,2352
S14 Households,MK02 Southwest Finland,"D7K Other current transfers, expenditure",350,330,347,348,360,349
S14 Households,MK02 Southwest Finland,"B6N Disposable income, net",9659,9810,10072,10406,10713,10828
S14 Households,MK04 Satakunta,"B2N Operating surplus, net",394,405,406,392,361,425
S14 Households,MK04 Satakunta,"B3N Mixed income, net",328,330,368,311,354,348
S14 Households,MK04 Satakunta,"D11R Wages and salaries received, income",3013,3033,3084,3194,3255,3209
S14 Households,MK04 Satakunta,"D12R Employer's social security contributions, income",694,707,660,655,654,607
S14 Households,MK04 Satakunta,"D4OMR  Property income, (incl. holding gains and losses), income",394,394,438,440,398,390
S14 Households,MK04 Satakunta,"D4K Property income, expenditure",39,29,24,27,27,21
S14 Households,MK04 Satakunta,B5N Net national income,4784,4840,4932,4965,4994,4958
S14 Households,MK04 Satakunta,"D62R Social benefits other than social transfers in kind, income",1847,1863,1860,1857,1896,1974
S14 Households,MK04 Satakunta,"D7R Other current transfers, income",101,105,119,109,118,114
S14 Households,MK04 Satakunta,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1054,1084,1069,1062,1093,1105
S14 Households,MK04 Satakunta,D61K Employer's social security contributions,1016,1039,1012,1023,1037,985
S14 Households,MK04 Satakunta,"D7K Other current transfers, expenditure",198,188,194,189,195,193
S14 Households,MK04 Satakunta,"B6N Disposable income, net",4464,4498,4636,4656,4684,4763
S14 Households,MK05 Kanta-Häme,"B2N Operating surplus, net",315,325,325,327,320,348
S14 Households,MK05 Kanta-Häme,"B3N Mixed income, net",234,248,250,249,255,247
S14 Households,MK05 Kanta-Häme,"D11R Wages and salaries received, income",2517,2531,2550,2625,2695,2677
S14 Households,MK05 Kanta-Häme,"D12R Employer's social security contributions, income",580,590,546,539,541,507
S14 Households,MK05 Kanta-Häme,"D4OMR  Property income, (incl. holding gains and losses), income",310,295,380,324,413,293
S14 Households,MK05 Kanta-Häme,"D4K Property income, expenditure",32,23,19,21,21,17
S14 Households,MK05 Kanta-Häme,B5N Net national income,3924,3965,4031,4043,4203,4055
S14 Households,MK05 Kanta-Häme,"D62R Social benefits other than social transfers in kind, income",1387,1402,1418,1434,1464,1527
S14 Households,MK05 Kanta-Häme,"D7R Other current transfers, income",75,75,86,78,83,78
S14 Households,MK05 Kanta-Häme,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",865,877,883,876,919,904
S14 Households,MK05 Kanta-Häme,D61K Employer's social security contributions,848,868,838,842,857,820
S14 Households,MK05 Kanta-Häme,"D7K Other current transfers, expenditure",138,130,135,133,137,134
S14 Households,MK05 Kanta-Häme,"B6N Disposable income, net",3535,3567,3679,3703,3836,3801
S14 Households,MK06 Pirkanmaa,"B2N Operating surplus, net",817,841,839,847,828,843
S14 Households,MK06 Pirkanmaa,"B3N Mixed income, net",698,735,741,717,721,732
S14 Households,MK06 Pirkanmaa,"D11R Wages and salaries received, income",7404,7542,7700,8124,8462,8481
S14 Households,MK06 Pirkanmaa,"D12R Employer's social security contributions, income",1716,1766,1655,1674,1706,1612
S14 Households,MK06 Pirkanmaa,"D4OMR  Property income, (incl. holding gains and losses), income",992,927,1045,1123,998,1101
S14 Households,MK06 Pirkanmaa,"D4K Property income, expenditure",82,61,51,58,58,47
S14 Households,MK06 Pirkanmaa,B5N Net national income,11546,11750,11929,12428,12656,12723
S14 Households,MK06 Pirkanmaa,"D62R Social benefits other than social transfers in kind, income",3901,3961,3993,4035,4141,4350
S14 Households,MK06 Pirkanmaa,"D7R Other current transfers, income",198,199,228,208,223,210
S14 Households,MK06 Pirkanmaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",2582,2635,2640,2716,2769,2848
S14 Households,MK06 Pirkanmaa,D61K Employer's social security contributions,2500,2588,2531,2607,2688,2597
S14 Households,MK06 Pirkanmaa,"D7K Other current transfers, expenditure",399,383,395,390,405,397
S14 Households,MK06 Pirkanmaa,"B6N Disposable income, net",10164,10303,10583,10958,11159,11441
S14 Households,MK07 Päijät-Häme,"B2N Operating surplus, net",339,349,347,350,342,363
S14 Households,MK07 Päijät-Häme,"B3N Mixed income, net",295,304,310,320,308,303
S14 Households,MK07 Päijät-Häme,"D11R Wages and salaries received, income",2748,2783,2820,2917,3002,2954
S14 Households,MK07 Päijät-Häme,"D12R Employer's social security contributions, income",637,653,607,602,606,562
S14 Households,MK07 Päijät-Häme,"D4OMR  Property income, (incl. holding gains and losses), income",385,363,460,407,493,428
S14 Households,MK07 Päijät-Häme,"D4K Property income, expenditure",32,24,20,22,22,17
S14 Households,MK07 Päijät-Häme,B5N Net national income,4371,4428,4524,4575,4728,4593
S14 Households,MK07 Päijät-Häme,"D62R Social benefits other than social transfers in kind, income",1727,1746,1767,1786,1823,1907
S14 Households,MK07 Päijät-Häme,"D7R Other current transfers, income",82,84,94,85,92,87
S14 Households,MK07 Päijät-Häme,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",993,1003,1011,1014,1060,1052
S14 Households,MK07 Päijät-Häme,D61K Employer's social security contributions,932,961,932,941,962,912
S14 Households,MK07 Päijät-Häme,"D7K Other current transfers, expenditure",155,146,152,149,154,150
S14 Households,MK07 Päijät-Häme,"B6N Disposable income, net",4100,4147,4290,4341,4467,4473
S14 Households,MK08 Kymenlaakso,"B2N Operating surplus, net",303,309,308,301,282,332
S14 Households,MK08 Kymenlaakso,"B3N Mixed income, net",198,203,204,180,191,199
S14 Households,MK08 Kymenlaakso,"D11R Wages and salaries received, income",2281,2270,2289,2381,2449,2425
S14 Households,MK08 Kymenlaakso,"D12R Employer's social security contributions, income",523,527,487,486,489,457
S14 Households,MK08 Kymenlaakso,"D4OMR  Property income, (incl. holding gains and losses), income",265,256,336,339,338,250
S14 Households,MK08 Kymenlaakso,"D4K Property income, expenditure",23,17,14,16,16,12
S14 Households,MK08 Kymenlaakso,B5N Net national income,3546,3547,3610,3672,3733,3650
S14 Households,MK08 Kymenlaakso,"D62R Social benefits other than social transfers in kind, income",1550,1560,1561,1556,1572,1628
S14 Households,MK08 Kymenlaakso,"D7R Other current transfers, income",73,75,83,75,81,78
S14 Households,MK08 Kymenlaakso,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",841,849,848,847,869,877
S14 Households,MK08 Kymenlaakso,D61K Employer's social security contributions,773,783,757,769,780,745
S14 Households,MK08 Kymenlaakso,"D7K Other current transfers, expenditure",138,129,134,131,134,132
S14 Households,MK08 Kymenlaakso,"B6N Disposable income, net",3417,3421,3515,3557,3602,3602
S14 Households,MK09 South Karelia,"B2N Operating surplus, net",206,210,208,217,219,284
S14 Households,MK09 South Karelia,"B3N Mixed income, net",177,181,180,182,183,177
S14 Households,MK09 South Karelia,"D11R Wages and salaries received, income",1752,1742,1757,1825,1865,1848
S14 Households,MK09 South Karelia,"D12R Employer's social security contributions, income",406,408,377,376,376,351
S14 Households,MK09 South Karelia,"D4OMR  Property income, (incl. holding gains and losses), income",214,199,278,244,258,191
S14 Households,MK09 South Karelia,"D4K Property income, expenditure",19,14,12,13,13,10
S14 Households,MK09 South Karelia,B5N Net national income,2737,2727,2790,2831,2889,2842
S14 Households,MK09 South Karelia,"D62R Social benefits other than social transfers in kind, income",1127,1138,1139,1143,1160,1210
S14 Households,MK09 South Karelia,"D7R Other current transfers, income",54,57,64,58,62,61
S14 Households,MK09 South Karelia,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",639,638,631,629,639,649
S14 Households,MK09 South Karelia,D61K Employer's social security contributions,598,605,584,594,598,572
S14 Households,MK09 South Karelia,"D7K Other current transfers, expenditure",104,97,101,100,103,103
S14 Households,MK09 South Karelia,"B6N Disposable income, net",2578,2581,2675,2710,2770,2788
S14 Households,MK10 South Savo,"B2N Operating surplus, net",255,258,256,252,238,261
S14 Households,MK10 South Savo,"B3N Mixed income, net",279,297,305,311,309,271
S14 Households,MK10 South Savo,"D11R Wages and salaries received, income",1644,1643,1650,1700,1723,1687
S14 Households,MK10 South Savo,"D12R Employer's social security contributions, income",381,385,355,351,348,321
S14 Households,MK10 South Savo,"D4OMR  Property income, (incl. holding gains and losses), income",262,242,302,277,299,229
S14 Households,MK10 South Savo,"D4K Property income, expenditure",23,17,15,16,16,13
S14 Households,MK10 South Savo,B5N Net national income,2799,2808,2854,2875,2899,2756
S14 Households,MK10 South Savo,"D62R Social benefits other than social transfers in kind, income",1224,1232,1236,1241,1256,1303
S14 Households,MK10 South Savo,"D7R Other current transfers, income",60,63,71,64,69,66
S14 Households,MK10 South Savo,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",627,636,632,628,638,645
S14 Households,MK10 South Savo,D61K Employer's social security contributions,563,572,551,553,555,525
S14 Households,MK10 South Savo,"D7K Other current transfers, expenditure",113,106,110,107,110,108
S14 Households,MK10 South Savo,"B6N Disposable income, net",2779,2788,2868,2892,2921,2848
S14 Households,MK11 North Savo,"B2N Operating surplus, net",410,420,418,418,414,431
S14 Households,MK11 North Savo,"B3N Mixed income, net",413,434,452,474,480,463
S14 Households,MK11 North Savo,"D11R Wages and salaries received, income",3210,3258,3316,3470,3585,3573
S14 Households,MK11 North Savo,"D12R Employer's social security contributions, income",745,764,713,716,724,680
S14 Households,MK11 North Savo,"D4OMR  Property income, (incl. holding gains and losses), income",411,426,487,488,507,414
S14 Households,MK11 North Savo,"D4K Property income, expenditure",47,34,29,32,32,25
S14 Households,MK11 North Savo,B5N Net national income,5142,5267,5358,5534,5677,5535
S14 Households,MK11 North Savo,"D62R Social benefits other than social transfers in kind, income",2047,2064,2067,2083,2125,2217
S14 Households,MK11 North Savo,"D7R Other current transfers, income",103,108,124,112,122,116
S14 Households,MK11 North Savo,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1146,1178,1159,1187,1210,1228
S14 Households,MK11 North Savo,D61K Employer's social security contributions,1094,1129,1100,1123,1147,1101
S14 Households,MK11 North Savo,"D7K Other current transfers, expenditure",197,188,195,191,197,193
S14 Households,MK11 North Savo,"B6N Disposable income, net",4856,4945,5095,5229,5370,5346
S14 Households,MK12 North Karelia,"B2N Operating surplus, net",264,268,266,275,279,300
S14 Households,MK12 North Karelia,"B3N Mixed income, net",281,282,293,299,292,286
S14 Households,MK12 North Karelia,"D11R Wages and salaries received, income",1908,1914,1944,2024,2081,2063
S14 Households,MK12 North Karelia,"D12R Employer's social security contributions, income",443,449,418,417,420,392
S14 Households,MK12 North Karelia,"D4OMR  Property income, (incl. holding gains and losses), income",281,259,330,318,355,293
S14 Households,MK12 North Karelia,"D4K Property income, expenditure",28,21,17,19,19,15
S14 Households,MK12 North Karelia,B5N Net national income,3148,3150,3233,3314,3408,3320
S14 Households,MK12 North Karelia,"D62R Social benefits other than social transfers in kind, income",1391,1405,1407,1414,1437,1496
S14 Households,MK12 North Karelia,"D7R Other current transfers, income",72,76,84,76,82,78
S14 Households,MK12 North Karelia,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",696,701,693,700,711,718
S14 Households,MK12 North Karelia,D61K Employer's social security contributions,651,665,647,657,668,638
S14 Households,MK12 North Karelia,"D7K Other current transfers, expenditure",132,125,130,127,132,130
S14 Households,MK12 North Karelia,"B6N Disposable income, net",3131,3140,3255,3321,3416,3408
S14 Households,MK13 Central Finland,"B2N Operating surplus, net",452,467,466,470,460,463
S14 Households,MK13 Central Finland,"B3N Mixed income, net",389,409,436,439,434,443
S14 Households,MK13 Central Finland,"D11R Wages and salaries received, income",3488,3569,3668,3818,3944,3930
S14 Households,MK13 Central Finland,"D12R Employer's social security contributions, income",808,836,789,787,795,747
S14 Households,MK13 Central Finland,"D4OMR  Property income, (incl. holding gains and losses), income",470,442,531,555,478,531
S14 Households,MK13 Central Finland,"D4K Property income, expenditure",41,31,26,29,30,23
S14 Households,MK13 Central Finland,B5N Net national income,5566,5692,5864,6040,6081,6091
S14 Households,MK13 Central Finland,"D62R Social benefits other than social transfers in kind, income",2153,2167,2177,2191,2233,2336
S14 Households,MK13 Central Finland,"D7R Other current transfers, income",107,109,125,114,125,118
S14 Households,MK13 Central Finland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1233,1259,1268,1288,1302,1340
S14 Households,MK13 Central Finland,D61K Employer's social security contributions,1184,1232,1212,1232,1258,1208
S14 Households,MK13 Central Finland,"D7K Other current transfers, expenditure",214,205,211,206,213,210
S14 Households,MK13 Central Finland,"B6N Disposable income, net",5196,5272,5475,5620,5666,5786
S14 Households,MK14 South Ostrobothnia,"B2N Operating surplus, net",346,355,350,352,342,367
S14 Households,MK14 South Ostrobothnia,"B3N Mixed income, net",366,371,390,367,426,411
S14 Households,MK14 South Ostrobothnia,"D11R Wages and salaries received, income",2398,2413,2452,2554,2632,2622
S14 Households,MK14 South Ostrobothnia,"D12R Employer's social security contributions, income",556,566,528,527,532,499
S14 Households,MK14 South Ostrobothnia,"D4OMR  Property income, (incl. holding gains and losses), income",389,379,413,389,370,397
S14 Households,MK14 South Ostrobothnia,"D4K Property income, expenditure",45,33,27,31,31,24
S14 Households,MK14 South Ostrobothnia,B5N Net national income,4012,4050,4105,4157,4271,4271
S14 Households,MK14 South Ostrobothnia,"D62R Social benefits other than social transfers in kind, income",1463,1473,1478,1480,1509,1574
S14 Households,MK14 South Ostrobothnia,"D7R Other current transfers, income",91,95,110,100,109,102
S14 Households,MK14 South Ostrobothnia,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",865,876,869,877,905,905
S14 Households,MK14 South Ostrobothnia,D61K Employer's social security contributions,815,835,812,825,843,809
S14 Households,MK14 South Ostrobothnia,"D7K Other current transfers, expenditure",178,170,176,173,179,176
S14 Households,MK14 South Ostrobothnia,"B6N Disposable income, net",3707,3738,3836,3863,3962,4058
S14 Households,MK15 Ostrobothnia,"B2N Operating surplus, net",285,293,296,296,287,299
S14 Households,MK15 Ostrobothnia,"B3N Mixed income, net",293,284,299,296,335,339
S14 Households,MK15 Ostrobothnia,"D11R Wages and salaries received, income",2554,2556,2581,2680,2764,2749
S14 Households,MK15 Ostrobothnia,"D12R Employer's social security contributions, income",593,600,556,553,558,523
S14 Households,MK15 Ostrobothnia,"D4OMR  Property income, (incl. holding gains and losses), income",358,368,361,377,350,391
S14 Households,MK15 Ostrobothnia,"D4K Property income, expenditure",33,24,20,23,24,19
S14 Households,MK15 Ostrobothnia,B5N Net national income,4049,4077,4073,4180,4270,4282
S14 Households,MK15 Ostrobothnia,"D62R Social benefits other than social transfers in kind, income",1261,1284,1296,1288,1320,1379
S14 Households,MK15 Ostrobothnia,"D7R Other current transfers, income",74,77,88,79,87,82
S14 Households,MK15 Ostrobothnia,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",861,881,866,879,902,923
S14 Households,MK15 Ostrobothnia,D61K Employer's social security contributions,864,880,851,862,880,844
S14 Households,MK15 Ostrobothnia,"D7K Other current transfers, expenditure",153,146,152,149,154,151
S14 Households,MK15 Ostrobothnia,"B6N Disposable income, net",3507,3531,3589,3657,3741,3826
S14 Households,MK16 Central Ostrobothnia,"B2N Operating surplus, net",99,103,103,110,116,120
S14 Households,MK16 Central Ostrobothnia,"B3N Mixed income, net",118,118,119,123,123,127
S14 Households,MK16 Central Ostrobothnia,"D11R Wages and salaries received, income",871,883,899,937,966,963
S14 Households,MK16 Central Ostrobothnia,"D12R Employer's social security contributions, income",202,207,194,193,195,183
S14 Households,MK16 Central Ostrobothnia,"D4OMR  Property income, (incl. holding gains and losses), income",128,117,141,123,135,131
S14 Households,MK16 Central Ostrobothnia,"D4K Property income, expenditure",16,11,9,10,11,8
S14 Households,MK16 Central Ostrobothnia,B5N Net national income,1401,1418,1446,1476,1525,1515
S14 Households,MK16 Central Ostrobothnia,"D62R Social benefits other than social transfers in kind, income",494,500,502,501,512,534
S14 Households,MK16 Central Ostrobothnia,"D7R Other current transfers, income",29,29,34,31,34,31
S14 Households,MK16 Central Ostrobothnia,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",309,314,317,319,325,332
S14 Households,MK16 Central Ostrobothnia,D61K Employer's social security contributions,296,305,297,302,309,296
S14 Households,MK16 Central Ostrobothnia,"D7K Other current transfers, expenditure",57,54,56,55,57,55
S14 Households,MK16 Central Ostrobothnia,"B6N Disposable income, net",1262,1274,1311,1331,1379,1397
S14 Households,MK17 North Ostrobothnia,"B2N Operating surplus, net",626,639,635,641,628,671
S14 Households,MK17 North Ostrobothnia,"B3N Mixed income, net",539,573,609,628,629,652
S14 Households,MK17 North Ostrobothnia,"D11R Wages and salaries received, income",5399,5515,5645,5937,6181,6221
S14 Households,MK17 North Ostrobothnia,"D12R Employer's social security contributions, income",1252,1291,1214,1224,1247,1183
S14 Households,MK17 North Ostrobothnia,"D4OMR  Property income, (incl. holding gains and losses), income",857,691,792,804,847,816
S14 Households,MK17 North Ostrobothnia,"D4K Property income, expenditure",69,51,43,48,49,39
S14 Households,MK17 North Ostrobothnia,B5N Net national income,8605,8659,8853,9186,9483,9504
S14 Households,MK17 North Ostrobothnia,"D62R Social benefits other than social transfers in kind, income",2952,2981,3001,3009,3075,3236
S14 Households,MK17 North Ostrobothnia,"D7R Other current transfers, income",163,162,185,169,185,175
S14 Households,MK17 North Ostrobothnia,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1904,1895,1912,1952,2008,2059
S14 Households,MK17 North Ostrobothnia,D61K Employer's social security contributions,1827,1898,1861,1910,1964,1905
S14 Households,MK17 North Ostrobothnia,"D7K Other current transfers, expenditure",312,296,308,304,315,310
S14 Households,MK17 North Ostrobothnia,"B6N Disposable income, net",7677,7714,7957,8199,8456,8640
S14 Households,MK18 Kainuu,"B2N Operating surplus, net",125,125,123,126,125,150
S14 Households,MK18 Kainuu,"B3N Mixed income, net",107,114,119,128,129,129
S14 Households,MK18 Kainuu,"D11R Wages and salaries received, income",891,910,922,959,981,972
S14 Households,MK18 Kainuu,"D12R Employer's social security contributions, income",203,210,195,194,195,182
S14 Households,MK18 Kainuu,"D4OMR  Property income, (incl. holding gains and losses), income",118,105,153,139,171,112
S14 Households,MK18 Kainuu,"D4K Property income, expenditure",11,8,7,8,8,6
S14 Households,MK18 Kainuu,B5N Net national income,1432,1456,1505,1538,1593,1539
S14 Households,MK18 Kainuu,"D62R Social benefits other than social transfers in kind, income",660,656,654,650,656,682
S14 Households,MK18 Kainuu,"D7R Other current transfers, income",31,33,38,35,37,36
S14 Households,MK18 Kainuu,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",322,325,322,327,337,333
S14 Households,MK18 Kainuu,D61K Employer's social security contributions,299,311,303,307,311,297
S14 Households,MK18 Kainuu,"D7K Other current transfers, expenditure",62,58,60,59,61,61
S14 Households,MK18 Kainuu,"B6N Disposable income, net",1439,1450,1512,1531,1578,1567
S14 Households,MK19 Lapland,"B2N Operating surplus, net",324,329,326,314,287,308
S14 Households,MK19 Lapland,"B3N Mixed income, net",251,259,315,297,284,277
S14 Households,MK19 Lapland,"D11R Wages and salaries received, income",2307,2327,2374,2472,2565,2534
S14 Households,MK19 Lapland,"D12R Employer's social security contributions, income",533,543,509,508,516,480
S14 Households,MK19 Lapland,"D4OMR  Property income, (incl. holding gains and losses), income",285,266,336,316,362,288
S14 Households,MK19 Lapland,"D4K Property income, expenditure",27,20,17,19,19,15
S14 Households,MK19 Lapland,B5N Net national income,3674,3704,3843,3888,3994,3873
S14 Households,MK19 Lapland,"D62R Social benefits other than social transfers in kind, income",1529,1538,1541,1521,1545,1620
S14 Households,MK19 Lapland,"D7R Other current transfers, income",79,82,93,85,91,87
