"12bg -- Employment and hours worked by area, annually, 2000-2021*",,,,,,,,,
,,,,,,,,,
Area,Transaction,Industry,Sector,2015 Original series,2016 Original series,2017 Original series,2018 Original series,2019 Original series,2020 Original series
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","681, 68209, 683 Other real estate activities",S1 Total economy,7.726,7.769,8.058,8.292,8.489,8.589
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","68201, 68202 Letting and operation of dwellings",S1 Total economy,3.13,2.952,2.946,3.051,3.082,3.38
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","M Professional, scientific and technical activities (69-75)",S1 Total economy,73.198,75.223,76.328,78.943,80.426,81.329
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",N Administrative and support service activities (77-82),S1 Total economy,68.173,75.367,78.975,84.276,94.832,88.574
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",O Public administration and defence; compulsory social security (84),S1 Total economy,53.138,52.918,54.82,55.489,56.448,58.508
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",P Education (85),S1 Total economy,51.315,51.107,50.713,51.438,53.763,55.02
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",Q Human health and social work activities (86-88),S1 Total economy,113.836,116.112,119.227,123.267,128.716,131.901
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","R, S Other service activities (90-96)",S1 Total economy,49.376,49.822,51.252,50.437,51.908,49.37
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),S1 Total economy,2.386,2.717,2.738,3.199,2.979,2.74
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","A Agriculture, forestry and fishing (01-03)",S1 Total economy,13.841,13.805,12.243,12.346,12.384,12.163
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","01 Crop and animal production, hunting and related service activities",S1 Total economy,10.287,9.629,8.856,9.028,9.026,9.149
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","02, 03 Forestry; Fishing",S1 Total economy,3.554,4.176,3.387,3.318,3.358,3.014
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",B-F Secondary production (05-43),S1 Total economy,248.717,255.813,261.956,267.217,269.841,267.197
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",B Mining and quarrying (05-09),S1 Total economy,0.559,0.555,0.486,0.533,0.731,0.725
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",10-12 Food industry etc.,S1 Total economy,14.734,14.91,14.818,14.546,14.162,15.079
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","13-15 Textile, clothing and leather industry",S1 Total economy,2.313,2.138,2.332,2.352,2.315,2.33
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","16-18 Manufacture of wood products, paper and paper products; printing and reproduction of recorded media",S1 Total economy,11.906,10.717,10.398,10.416,10.592,11.186
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",S1 Total economy,2.218,2.269,2.137,2.171,2.559,2.867
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","17, 18 Paper industry; Printing",S1 Total economy,9.688,8.447,8.261,8.245,8.032,8.319
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",19-22 Chemical industry,S1 Total economy,16.984,17.014,17.266,17.451,17.748,18.08
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",23 Manufacture of other non-metallic mineral products,S1 Total economy,3.984,4.03,3.927,3.859,3.819,3.765
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",24-30 Metal industry,S1 Total economy,58.862,58.236,57.345,57.625,57.91,58.269
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",S1 Total economy,10.347,10.311,10.386,10.548,10.368,10.179
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","26, 27 Manufacture of electrical and electronic products",S1 Total economy,29.731,28.66,27.277,27.848,27.44,26.893
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",28 Manufacture of machinery and equipment n.e.c.,S1 Total economy,16.765,17.153,17.436,17.249,18.038,19.323
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","29, 30 Manufacture of transport equipment",S1 Total economy,2.018,2.113,2.246,1.979,2.065,1.874
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",S1 Total economy,10.723,10.485,10.747,10.971,11.507,11.123
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","05-09, 13-15, 19-23, 31-39 Other industry",S1 Total economy,46.869,49.311,49.791,50.625,51.696,51.225
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",S1 Total economy,12.305,15.09,15.032,15.46,15.577,15.201
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",F Construction (41-43),S1 Total economy,116.347,122.64,129.605,134.004,135.481,131.438
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",G-T Services (45-98),S1 Total economy,1100.831,1120.869,1134.178,1161.57,1196.137,1157.328
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),S1 Total economy,186.437,184.032,181.653,185.571,187.954,178.478
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",H Transportation and storage (49-53),S1 Total economy,88.212,86.909,88.081,89.663,91.207,77.327
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",I Accommodation and food service activities (55-56),S1 Total economy,52.326,54.426,56.158,58.448,60.091,47.367
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",J Information and communication (58-63),S1 Total economy,96.904,98.217,100.316,106.865,110.474,111.2
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",K Financial and insurance activities (64-66),S1 Total economy,40.491,42.085,40.56,42.119,42.607,40.083
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","681, 68209, 683, M, N Real estate activities; Professional, scientific and technical activities;  Office administrative and other",S1 Total economy,220.355,232.779,241.245,251.008,264.711,256.925
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","681, 68209, 683 Other real estate activities",S1 Total economy,12.796,12.872,13.166,13.545,13.576,13.581
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","68201, 68202 Letting and operation of dwellings",S1 Total economy,5.25,4.921,4.956,5.182,5.283,5.751
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","M Professional, scientific and technical activities (69-75)",S1 Total economy,116.558,119.994,122.446,126,126.817,128.105
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",N Administrative and support service activities (77-82),S1 Total economy,91.001,99.913,105.633,111.463,124.318,115.239
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",O Public administration and defence; compulsory social security (84),S1 Total economy,83.053,85.117,86.218,87.591,88.711,94.31
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",P Education (85),S1 Total economy,71.876,71.792,71.675,72.369,73.771,75.119
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",Q Human health and social work activities (86-88),S1 Total economy,174.155,176.382,179.896,182.14,189.485,194.089
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)","R, S Other service activities (90-96)",S1 Total economy,78.487,80.472,79.661,76.207,77.865,73.042
SA1 Helsinki-Uusimaa,"E2 Hours worked, domestic (1 000 000 h)",T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),S1 Total economy,3.283,3.739,3.759,4.408,3.98,3.637
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","A Agriculture, forestry and fishing (01-03)",S1 Total economy,21.807,20.243,19.589,18.992,18.978,20.037
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","01 Crop and animal production, hunting and related service activities",S1 Total economy,18.063,16.773,16.081,15.37,15.174,16.086
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","02, 03 Forestry; Fishing",S1 Total economy,3.744,3.471,3.508,3.622,3.804,3.951
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",B-F Secondary production (05-43),S1 Total economy,123.971,126.449,128.85,132.744,130.668,127.937
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",B Mining and quarrying (05-09),S1 Total economy,0.83,0.806,0.829,0.819,0.715,0.78
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",10-12 Food industry etc.,S1 Total economy,8.738,8.841,8.843,9.182,9.096,9.179
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","13-15 Textile, clothing and leather industry",S1 Total economy,1.696,1.751,1.612,1.594,1.422,1.388
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","16-18 Manufacture of wood products, paper and paper products; printing and reproduction of recorded media",S1 Total economy,12.964,13.412,13.221,13.075,12.406,11.717
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",S1 Total economy,4.543,4.606,4.567,4.6,4.328,4.343
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","17, 18 Paper industry; Printing",S1 Total economy,8.421,8.806,8.655,8.475,8.078,7.374
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",19-22 Chemical industry,S1 Total economy,8.043,8.073,8.131,8.241,8.313,8.627
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",23 Manufacture of other non-metallic mineral products,S1 Total economy,4.388,4.227,4.404,4.491,4.561,4.207
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",24-30 Metal industry,S1 Total economy,34.012,34.113,35.467,37.16,37.948,36.749
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",S1 Total economy,13.559,13.595,13.585,13.847,13.857,13.324
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","26, 27 Manufacture of electrical and electronic products",S1 Total economy,4.879,4.433,4.022,4.002,4.134,4.127
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",28 Manufacture of machinery and equipment n.e.c.,S1 Total economy,10.513,10.616,10.663,10.867,10.927,10.705
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","29, 30 Manufacture of transport equipment",S1 Total economy,5.061,5.469,7.196,8.445,9.03,8.593
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",S1 Total economy,8.82,8.61,8.682,8.911,8.393,8.312
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","05-09, 13-15, 19-23, 31-39 Other industry",S1 Total economy,28.83,28.276,28.579,29.046,28.53,28.635
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",S1 Total economy,5.053,4.81,4.921,4.99,5.126,5.321
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",F Construction (41-43),S1 Total economy,39.426,41.806,42.74,44.281,42.688,41.657
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",G-T Services (45-98),S1 Total economy,349.085,348.929,351.272,357.488,363.956,356.34
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),S1 Total economy,57.25,56.8,56.266,56.367,56.091,53.867
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",H Transportation and storage (49-53),S1 Total economy,29.756,29.023,28.338,28.942,29.469,29.126
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",I Accommodation and food service activities (55-56),S1 Total economy,16.362,16.789,17.137,17.718,18.561,16.327
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",J Information and communication (58-63),S1 Total economy,10.267,10.059,10.615,10.512,10.661,10.791
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",K Financial and insurance activities (64-66),S1 Total economy,6.164,5.825,6.418,5.038,5.58,5.425
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","681, 68209, 683, M, N Real estate activities; Professional, scientific and technical activities;  Office administrative and other",S1 Total economy,55.218,56.28,58.191,60.645,61.301,60.724
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","681, 68209, 683 Other real estate activities",S1 Total economy,3.432,3.445,3.556,3.683,3.613,3.773
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","68201, 68202 Letting and operation of dwellings",S1 Total economy,1.006,1.174,1.164,1.114,1.087,1.013
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","M Professional, scientific and technical activities (69-75)",S1 Total economy,23.54,23.875,24.065,24.851,25.275,25.679
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",N Administrative and support service activities (77-82),S1 Total economy,28.245,28.961,30.57,32.11,32.413,31.272
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",O Public administration and defence; compulsory social security (84),S1 Total economy,35.744,35.289,34.675,35.739,36.501,37.654
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",P Education (85),S1 Total economy,30.419,29.684,29.819,29.797,29.864,29.728
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",Q Human health and social work activities (86-88),S1 Total economy,82.941,83.521,84.271,87.067,89.929,87.839
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)","R, S Other service activities (90-96)",S1 Total economy,21.895,22.26,22.137,22.491,23.19,22.228
SA2 Southern Finland,"E1 Employment, domestic (1 000 persons)",T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),S1 Total economy,2.062,2.224,2.241,2.058,1.721,1.617
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","A Agriculture, forestry and fishing (01-03)",S1 Total economy,43.47,40.674,39.43,38.457,38.253,40.349
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","01 Crop and animal production, hunting and related service activities",S1 Total economy,33.957,31.622,30.422,29.161,28.803,30.473
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","02, 03 Forestry; Fishing",S1 Total economy,9.512,9.052,9.008,9.296,9.45,9.876
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",B-F Secondary production (05-43),S1 Total economy,210.593,214.709,219.458,225.601,221.242,215.305
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",B Mining and quarrying (05-09),S1 Total economy,1.269,1.228,1.285,1.312,1.137,1.266
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",10-12 Food industry etc.,S1 Total economy,13.164,13.331,13.249,13.765,13.453,13.515
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","13-15 Textile, clothing and leather industry",S1 Total economy,2.518,2.568,2.459,2.481,2.248,2.287
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","16-18 Manufacture of wood products, paper and paper products; printing and reproduction of recorded media",S1 Total economy,19.357,19.798,19.63,19.501,18.606,17.432
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",S1 Total economy,6.917,6.953,6.937,7.053,6.629,6.44
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","17, 18 Paper industry; Printing",S1 Total economy,12.441,12.845,12.692,12.448,11.978,10.991
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",19-22 Chemical industry,S1 Total economy,12.235,12.358,12.435,12.684,12.831,13.24
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",23 Manufacture of other non-metallic mineral products,S1 Total economy,6.578,6.358,6.68,6.83,6.947,6.151
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",24-30 Metal industry,S1 Total economy,53.609,53.416,56.229,58.813,59.909,57.211
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",S1 Total economy,20.907,20.79,21.052,21.332,21.439,20.44
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","26, 27 Manufacture of electrical and electronic products",S1 Total economy,7.637,7.042,6.45,6.357,6.518,6.357
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",28 Manufacture of machinery and equipment n.e.c.,S1 Total economy,17.24,17.429,17.705,18.122,18.061,17.762
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","29, 30 Manufacture of transport equipment",S1 Total economy,7.825,8.155,11.021,13.002,13.891,12.652
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",S1 Total economy,13.682,13.564,13.682,14.078,13.484,13.34
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","05-09, 13-15, 19-23, 31-39 Other industry",S1 Total economy,44.743,43.906,44.655,45.541,44.984,45.027
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",S1 Total economy,8.461,7.83,8.115,8.156,8.336,8.742
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",F Construction (41-43),S1 Total economy,79.72,84.258,85.696,87.98,84.29,82.12
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",G-T Services (45-98),S1 Total economy,543.821,542.928,542.906,553.319,566.444,549.339
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),S1 Total economy,89.631,89.065,88.083,89.887,89.153,85.265
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",H Transportation and storage (49-53),S1 Total economy,51.156,50.181,49.208,49.914,50.242,47.529
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",I Accommodation and food service activities (55-56),S1 Total economy,28.984,29.528,29.942,31.206,32.159,27.224
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",J Information and communication (58-63),S1 Total economy,16.757,16.565,17.043,16.857,17.078,17.073
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",K Financial and insurance activities (64-66),S1 Total economy,9.691,9.346,9.186,8.151,8.725,8.42
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","681, 68209, 683, M, N Real estate activities; Professional, scientific and technical activities;  Office administrative and other",S1 Total economy,81.303,81.954,84.734,88.279,88.544,87.025
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","681, 68209, 683 Other real estate activities",S1 Total economy,5.612,5.539,5.615,5.948,5.689,5.842
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","68201, 68202 Letting and operation of dwellings",S1 Total economy,1.688,1.957,1.959,1.892,1.863,1.723
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","M Professional, scientific and technical activities (69-75)",S1 Total economy,37.522,37.888,38.481,39.585,39.555,40.045
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",N Administrative and support service activities (77-82),S1 Total economy,38.169,38.527,40.638,42.746,43.3,41.138
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",O Public administration and defence; compulsory social security (84),S1 Total economy,65.301,63.942,63.074,63.897,65.831,66.839
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",P Education (85),S1 Total economy,44.432,43.186,42.879,37.664,43.053,42.835
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",Q Human health and social work activities (86-88),S1 Total economy,118.04,119.592,119.902,128.587,132.694,129.986
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)","R, S Other service activities (90-96)",S1 Total economy,33.999,34.552,33.819,34.149,34.8,33.273
SA2 Southern Finland,"E2 Hours worked, domestic (1 000 000 h)",T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),S1 Total economy,2.837,3.06,3.077,2.835,2.3,2.147
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)","A Agriculture, forestry and fishing (01-03)",S1 Total economy,34.286,31.579,30.723,29.472,29.305,29.724
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)","01 Crop and animal production, hunting and related service activities",S1 Total economy,28.111,25.746,24.707,23.368,22.782,23.214
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)","02, 03 Forestry; Fishing",S1 Total economy,6.175,5.833,6.017,6.104,6.523,6.511
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)",B-F Secondary production (05-43),S1 Total economy,165.026,164.555,164.948,168.836,167.598,163.812
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)",B Mining and quarrying (05-09),S1 Total economy,1.505,1.549,1.456,1.542,1.57,1.412
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)",10-12 Food industry etc.,S1 Total economy,12.981,12.6,12.716,12.746,12.87,12.896
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)","13-15 Textile, clothing and leather industry",S1 Total economy,3.965,3.746,3.824,3.631,3.389,3.092
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)","16-18 Manufacture of wood products, paper and paper products; printing and reproduction of recorded media",S1 Total economy,16.728,16.269,15.782,15.687,15.101,13.936
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)","16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",S1 Total economy,6.597,6.449,6.417,6.401,5.956,5.294
SA3 Western Finland,"E1 Employment, domestic (1 000 persons)","17, 18 Paper industry; Printing",S1 Total economy,10.131,9.821,9.366,9.286,9.145,8.642
